DBN,min,max,mean
24Q267,16,34,29.93333333
24Q293,10,34,23.48947368
24Q296,15.7,30.8,25.3125
24Q299,18,24,20.13846154
24Q455,21.9,34,29.52941176
24Q485,5,33,22.77727273
24Q520,12,28,21.70909091
24Q530,10,27,21
24Q550,10,34,28.13030303
24Q560,14.9,34,29.540625
24Q585,20,64,26.95625
24Q600,6,34,24.03043478
24Q610,7.7,34.2,25.57
24Q744,10,27.5,19.92857143
25Q240,7,36,23.07058824
25Q241,16.7,32,24.355
25Q252,16.7,33,24.89166667
25Q263,13,29,24.375
25Q281,13,34.5,28.93548387
25Q285,22.5,34,28.93103448
25Q425,8,32.1,24.15833333
25Q460,5,33.8,24.09772727
25Q525,18,33.9,30.17777778
25Q540,16.1,31.3,23.60714286
25Q670,20,35,29.55333333
25Q792,11,28,20.14117647
26Q315,19,24.5,22.77727273
26Q415,11.2,34,26.66734694
26Q430,7,33.1,25.18297872
26Q435,5.5,32,23.60731707
26Q495,5,31.5,20.49782609
26Q566,10,32.5,26.096875
27Q260,6.5,36,21.94210526
27Q261,10,32,17.38
27Q262,12,34,30.13125
27Q302,11,36,26.6826087
27Q308,5,33.5,25.22
27Q309,10.5,32,26.03703704
27Q314,18.8,34,27.55333333
27Q319,28,28,28
27Q323,7,35,27.62916667
27Q324,14.5,34,23.77352941
27Q334,19,32,28.53636364
27Q351,18,34,26.97352941
27Q400,15,32.7,24.78666667
27Q475,7,33.7,24.12222222
27Q480,6,33,22.175
27Q650,17,33.7,28.91142857
28Q157,13,34,22.92857143
28Q167,6,32,23.70909091
28Q284,18,37,27.71333333
28Q310,6,34,26.3
28Q325,17,33,26.353125
28Q328,17.8,38,27.0875
28Q338,12.5,26,18.64210526
28Q350,18,34,29.5030303
28Q440,9,34.7,25.24791667
28Q505,12.5,36,27.95675676
28Q620,9.5,34,25.47333333
28Q680,18,34,27.36333333
28Q686,8,33,23.65
28Q687,20,32,25.90588235
28Q690,10,34,28.31515152
28Q896,16.5,33,25.45238095
29Q238,26.8,26.8,26.8
29Q243,11,35,26.468
29Q248,21,32,26.821875
29Q259,23,37,30.78181818
29Q265,23.3,34,29.59
29Q272,21.7,35,29.69333333
29Q283,14,37,29.04444444
29Q313,13,28.5,25.16315789
29Q326,18,33,28.34615385
29Q327,5,32,17.94
29Q492,15,34,28.35652174
29Q494,13,20,15.75
29Q496,10,25,15.5
29Q498,17.3,33,29.21333333
30Q258,16,32,25.504
30Q286,20,32,25.32857143
30Q301,15,31,25.54482759
30Q445,11,34,24.15434783
30Q450,18,36,27.79444444
30Q501,22.1,34,29.77037037
30Q502,5,33.5,23.26470588
30Q555,14,34,27.08947368
30Q575,19,34,30.43225806
30Q580,22.5,28.7,26.46923077
31R047,15.5,34,26.74545455
31R064,5,33.3,23.28787879
31R080,5,51,27.81875
31R440,6,32.6,24.2326087
31R445,11.3,34,24.79
31R450,14.7,34,29.84210526
31R455,7.5,34,25.764
31R460,9.3,33.1,24.15384615
31R470,15.2,32,22.15833333
31R600,5,34,22.76511628
31R605,15,34,30.26315789
32K168,13,34,25.63846154
32K403,10,31,19.61351351
32K545,15.8,32,24.83548387
32K549,16.4,33,24.56875
32K552,11,33,21.788
32K554,17,51.5,28.54210526
32K556,14,31.5,23.22333333
32K564,17.6,34,26.935
